2_10:08:13 03/05/2018/1.0
1/17:01:58 09/05/2018/1.0
1/17:04:53 09/05/2018/1.0
1/17:08:03 09/05/2018/1.0
1/17:13:38 09/05/2018/1.0
1/17:16:11 09/05/2018/1.0
1/17:18:15 09/05/2018/1.0
1/17:20:19 09/05/2018/1.0
1/17:25:02 09/05/2018/1.0
1/18:04:18 09/05/2018/1.0
1/18:04:22 09/05/2018/2.0
1/1.0
1/2.0
1/19:15:21 09/05/2018/2.0
2/19:15:26 09/05/2018/2.0
1/19:20:47 09/05/2018/1.0
1/19:20:50 09/05/2018/2.0
2/19:20:52 09/05/2018/2.0
1/19:20:57 09/05/2018/1.0
1/19:21:03 09/05/2018/2.0
1/19:30:03 09/05/2018/3.0
2/19:21:00 09/05/2018/2.0
1/20:11:12 09/05/2018/2.0
1/20:29:24 09/05/2018/2.0
1/20:29:28 09/05/2018/1.0
2/20:29:33 09/05/2018/2.0
2/20:29:36 09/05/2018/2.0
1/20:29:46 09/05/2018/2.0
1/20:29:49 09/05/2018/1.0
1/20:30:36 09/05/2018/2.0
2/20:29:39 09/05/2018/1.0
2/20:29:42 09/05/2018/3.0
1/20:37:21 09/05/2018/2.0
1/20:37:25 09/05/2018/1.0
2/20:37:29 09/05/2018/2.0
2/20:37:34 09/05/2018/3.0
1/20:37:38 09/05/2018/2.0
1/20:37:42 09/05/2018/3.0
2/20:37:45 09/05/2018/1.0
2/20:37:49 09/05/2018/4.0
1/20:39:29 09/05/2018/3.0
1/20:51:40 09/05/2018/1.0
1/20:55:26 09/05/2018/1.0
1/20:55:44 09/05/2018/1.0
1/20:58:28 09/05/2018/1.0
1/21:03:37 09/05/2018/1.0
1/21:04:42 09/05/2018/1.0
1/21:07:00 09/05/2018/1.0
1/21:07:13 09/05/2018/1.0
1/14:31:34 10/05/2018/1.0
1/14:31:38 10/05/2018/2.0
1/14:35:32 10/05/2018/1.0
1/14:35:37 10/05/2018/2.0
2/14:36:31 10/05/2018/5.0
